#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
2.512324384	bodytrack	102.0	40.0	5.08	0.203	48452116	3944	18387224	1806919	1545298	48455887
3.014264756	bodytrack	102.0	39.5	5.072	0.203	48970268	4044	18751314	1799418	1563682	48976759
3.515739072	bodytrack	102.0	39.5	5.08	0.203	49067386	4072	18696898	1819356	1557853	49061097
4.017903508	bodytrack	102.0	39.5	5.08	0.203	47184029	4045	18160568	1727993	1443179	47184669
4.519450063	bodytrack	102.0	39.0	5.08	0.243	48435284	4128	18473438	1774826	1574512	48434693
0.501281848	bodytrack	102.0	39.5	5.08	0.243	48177015	2474	23958294	1330135	1071053	48203522
1.003459703	bodytrack	102.0	39.5	5.08	0.243	47865787	4076	17759014	1810462	1596218	47838650
1.505281664	bodytrack	102.0	39.5	5.08	0.203	48931227	4130	18445446	1827014	1540834	48959140
2.007055498	bodytrack	102.0	39.5	5.08	0.203	48918896	4086	18587851	1812543	1477748	48926575
2.508958239	bodytrack	102.0	39.5	5.08	0.203	48481211	4051	18417972	1805473	1532089	48475136
3.011094838	bodytrack	102.0	39.5	5.08	0.203	49289201	4094	19141445	1785788	1486791	49288393
3.513148622	bodytrack	102.0	39.5	5.08	0.203	49333694	4160	18930614	1799435	1515208	49332127
4.015157247	bodytrack	102.0	39.5	5.08	0.203	48686712	4143	18751866	1782035	1536427	48686679
0.506440902	bodytrack	102.0	39.0	5.08	0.243	47895886	2451	23968956	1270858	1081495	47962506
1.010151999	bodytrack	102.0	39.0	5.08	0.203	46718493	4021	17363236	1728840	1489622	46681807
1.511613617	bodytrack	102.0	39.0	5.08	0.203	48783002	4096	18387059	1809058	1515744	48781643
2.014284636	bodytrack	102.0	39.0	5.08	0.203	48815578	4098	18503402	1797213	1547441	48816022
2.516180689	bodytrack	102.0	39.0	5.08	0.203	48740274	4099	18573878	1778136	1488184	48739770
3.018311119	bodytrack	102.0	39.0	5.08	0.203	48346392	3951	18777288	1758547	1495922	48344379
3.519752837	bodytrack	102.0	39.5	5.08	0.203	45491762	3874	17316865	1676714	1467854	45462691
4.022062331	bodytrack	102.0	39.0	5.08	0.243	47330547	3950	18296578	1714074	1477018	47360538
0.501001234	bodytrack	204.0	39.5	5.072	0.324	98902652	6870	43074656	3057652	2701791	98973357
