Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	BUS_CYCLES	BUS_ACCESS_PERIPH	BR_RETURN_SPEC
1.649178434	blackscholes	921.6	35.5	5.056	0.889	160358046	39881084	54509645	160333520	435	2371195
0.500187268	blackscholes	921.6	36.0	5.056	0.768	462402521	131256415	167481060	462426831	1609	7151518
1.000477663	blackscholes	921.6	35.5	5.056	0.889	460590850	129434519	164587890	460585867	1416	7148099
1.500736755	blackscholes	921.6	36.0	5.056	0.889	459973046	136674787	168469340	459969914	1253	7327531
1.639908877	blackscholes	921.6	36.0	5.048	0.888	154593015	38496854	52397559	154569120	371	2281807
0.500256905	blackscholes	921.6	35.5	5.048	0.807	463975428	132045485	168277740	464000993	1310	7146751
1.000554852	blackscholes	921.6	36.0	5.04	0.887	462817909	130163456	165491785	462815193	1408	7144650
1.500808110	blackscholes	921.6	36.0	5.04	0.887	462696091	137037692	169176648	462691289	1330	7324354
1.629024183	blackscholes	921.6	36.5	5.04	0.887	142226020	35699256	48354892	142200434	395	2094116
0.500171225	blackscholes	1036.8	35.5	5.048	0.807	520491272	145107562	184729163	520513326	1501	7902768
1.000456776	blackscholes	1036.8	36.5	5.04	0.967	516823899	143759155	181576258	516815912	1560	7895907
1.492336067	blackscholes	1036.8	36.0	5.04	0.967	532833194	148387585	187317983	532811385	1475	8141946
0.500170132	blackscholes	1036.8	35.5	5.056	0.849	519756430	145379479	184901210	519779050	1526	7924446
1.000516205	blackscholes	1036.8	35.5	5.048	0.969	519829235	144840719	182901956	519826173	1555	7963750
1.484991756	blackscholes	1036.8	35.5	5.048	0.969	529063467	147901664	186751714	529035978	1794	8126117
0.500224717	blackscholes	1036.8	36.0	5.048	0.848	521053591	145446272	185527387	521076918	1663	7862964
1.000492299	blackscholes	1036.8	35.5	5.04	0.967	523761549	146420577	184872847	523760835	1599	7991686
1.475282398	blackscholes	1036.8	35.5	5.04	0.967	513086094	143560176	181637939	513055816	1646	7832907
0.500167111	blackscholes	1132.8	36.0	5.056	0.808	553610686	153936824	195701442	553633726	1582	8497593
1.000433182	blackscholes	1132.8	36.0	5.048	1.009	547031512	151552202	191110433	547031056	1663	8425490
1.429075965	blackscholes	1132.8	36.5	5.048	1.009	499932139	138874792	175199062	499901757	1191	7713570
0.500163986	blackscholes	1132.8	36.0	5.056	0.849	553955193	153013994	195005947	553980231	1404	8328993
1.000509017	blackscholes	1132.8	36.0	5.048	1.009	553298759	153508828	193269838	553294145	1593	8400201
1.409766574	blackscholes	1132.8	36.0	5.048	1.049	474517581	131045262	165729487	474489499	1259	7197827
0.500166851	blackscholes	1132.8	36.5	5.056	0.849	552918411	153527214	195621304	552942174	1631	8367521
1.000425474	blackscholes	1132.8	36.0	5.048	1.009	552723186	153976868	193810164	552718823	1451	8440402
1.404556940	blackscholes	1132.8	36.0	5.048	1.009	473350942	131158675	165957771	473324143	1290	7211010
